parent_opeid,opeid,state,school_name,loc_name,addr_verif,lat,lon
675300,675304,IL,ILLINOIS CENTRAL COLLEGE,ILLINOIS CENTRAL COLLEGE - PEORIA MAPLE HALL,"5407 N. University, Peoria, IL 61614",40.753631,-89.6129027
675300,675300,IL,ILLINOIS CENTRAL COLLEGE,ILLINOIS CENTRAL COLLEGE - EAST PEORIA MAIN CAMPUS,"1 College Drive, East Peoria, IL 61635",40.7061444,-89.5189427
675600,675609,LA,NORTHSHORE TECHNICAL COMMUNITY COLLEGE,NORTHSHORE TECHNICAL COMMUNITY COLLEGE - LIVINGSTON CAMPUS,"11640 Burgess Avenue, Walker, LA 70785",30.4893393,-90.8931068
675600,675600,LA,NORTHSHORE TECHNICAL COMMUNITY COLLEGE,NORTHSHORE TECHNICAL COMMUNITY COLLEGE - SULLIVAN CAMPUS,"1710 Sullivan Drive, Bogalusa, LA 70427",30.7591021,-89.8451893
675600,675607,LA,NORTHSHORE TECHNICAL COMMUNITY COLLEGE,NORTHSHORE TECHNICAL COMMUNITY COLLEGE - LACOMBE MAIN CAMPUS,"65556 Centerpoint Boulevard, Lacombe, LA 70445",30.3790962,-89.8993099
675600,675604,LA,NORTHSHORE TECHNICAL COMMUNITY COLLEGE,NORTHSHORE TECHNICAL COLLEGE - FLORIDA PARISHES CAMPUS,"7067 Hwy 10, Greensburg, LA 70441",30.8333448,-90.6882232
675600,675603,LA,NORTHSHORE TECHNICAL COMMUNITY COLLEGE,NORTHSHORE TECHNICAL COLLEGE - HAMMOND AREA CAMPUS,"111 Pride Drive, Hammond, LA 70401",30.5127397,-90.424473
675600,675606,LA,NORTHSHORE TECHNICAL COMMUNITY COLLEGE,NORTHSHORE TECHNICAL COMMUNITY COLLEGE - CONNECT TO SUCCESS SITE,"900 B West University, Hammomd, LA 70402",30.5192137,-90.475416
676800,676800,MI,MID MICHIGAN COLLEGE,MID MICHIGAN COLLEGE - HARRISON CAMPUS,"1375 South Clare Avenue, Harrison, MI 48625",43.9697521,-84.7635439
676800,676802,MI,MID MICHIGAN COLLEGE,MID MICHIGAN COLLEGE - MT. PLEASANT CAMPUS,"2600 South Summerton Road, Mount Pleasant, MI 48588",43.6028641,-84.7290001
677500,677500,MN,RAINY RIVER COMMUNITY COLLEGE,RAINY RIVER COMMUNITY COLLEGE,"1501 Highway 71, International Falls, MN 56649",48.5899949,-93.4309891
677700,677701,MT,FLATHEAD VALLEY COMMUNITY COLLEGE,FLATHEAD VALLEY COMMUNITY COLLEGE - LINCOLN COUNTY CAMPUS,"225 Commerce Way, Libby, MT 59923",48.3939903,-115.5643487
677700,677700,MT,FLATHEAD VALLEY COMMUNITY COLLEGE,FLATHEAD VALLEY COMMUNITY COLLEGE - MAIN CAMPUS,"777 Grandview Drive, Kalispell, MT 59901",48.2273756,-114.3270732
678200,678200,NY,GENESEE COMMUNITY COLLEGE,GENESEE COMMUNITY COLLEGE - MAIN CAMPUS,"One College Road, Batavia, NY 14020",43.0169369,-78.1378683
678200,678204,NY,GENESEE COMMUNITY COLLEGE,GENESEE COMMUNITY COLLEGE - ALBION,"456 West Avenue, Albion, NY 14411",43.2396499,-78.2088497
678200,678209,NY,GENESEE COMMUNITY COLLEGE,GENESEE COMMUNITY COLLEGE - WARSAW,"115 Linwood Avenue, Warsaw, NY 14569",42.7480384,-78.1351526
678200,678203,NY,GENESEE COMMUNITY COLLEGE,GENESEE COMMUNITY COLLEGE - LIMA,"7285 Gale Road, Lima, NY 14485",42.9240449,-77.6124416
678200,678211,NY,GENESEE COMMUNITY COLLEGE,GENESEE COMMUNITY COLLEGE - MEDINA,"11470 Maple Ridge Road, Medina, NY 14103",43.2065802,-78.3811563
678200,678210,NY,GENESEE COMMUNITY COLLEGE,GENESEE COMMUNITY COLLEGE - DANSVILLE,"31 Clara Barton St., Dansville, NY 14437",42.5576746,-77.69611
678200,678208,NY,GENESEE COMMUNITY COLLEGE,GENESEE COMMUNITY COLLEGE - ARCADE,"25 Edward Street, Arcade, NY 14009",42.5305631,-78.4521482
678500,678500,NY,SCHENECTADY COUNTY COMMUNITY COLLEGE,SCHENECTADY COUNTY COMMUNITY COLLEGE,"78 Washington Avenue, Schenectady, NY 12305",42.814644,-73.9498085
678700,678700,NY,CLINTON COMMUNITY COLLEGE - SUNY OFFICE OF COMMUNITY COLLEGES,CLINTON COMMUNITY COLLEGE,"136 Clinton Point Drive, Plattsburgh, NY 12901",44.648192,-73.439933
678800,,NY,TOMPKINS CORTLAND COMMUNITY COLLEGE,TOMPKINS CORTLAND COMMUNITY COLLEGE - CORTLAND EXTENSION,"157 Main Street, Cortland, NY 13045",42.5955308,-76.1796871
678800,,NY,TOMPKINS CORTLAND COMMUNITY COLLEGE,TOMPKINS CORTLAND COMMUNITY COLLEGE - ITHACA EXTENSION,"118 North Tioga Street, Ithaca, NY 14850",42.4402145,-76.4971985
678800,,NY,TOMPKINS CORTLAND COMMUNITY COLLEGE,TOMPKINS CORTLAND COMMUNITY COLLEGE - COLTIVARE,"235 S. Cayuga St., Ithaca, NY 14850",42.4373382,-76.4986892
678800,678800,NY,TOMPKINS CORTLAND COMMUNITY COLLEGE,TOMPKINS CORTLAND COMMUNITY COLLEGE - MAIN CAMPUS,"170 North Street, Dryden, NY 13053",42.5026424,-76.2865588
678900,678900,NY,COLUMBIA - GREENE COMMUNITY COLLEGE - SUNY OFFICE OF CMNTY COLLEGES,COLUMBIA-GREENE COMMUNITY COLLEGE,"4400 Route 23, Hudson, NY 12534",42.2155889,-73.8179438
679900,679900,NC,CRAVEN COMMUNITY COLLEGE,CRAVEN COMMUNITY COLLEGE - MAIN CAMPUS,"800 College Court, New Bern, NC 28562",35.1108497,-77.1034792
679900,679902,NC,CRAVEN COMMUNITY COLLEGE,CRAVEN COMMUNITY COLLEGE - HAVELOCK CHERRY POINT CAMPUS,"305 Cunningham Boulevard, Havelock, NC 28532",34.8804085,-76.8997483
680400,680400,OH,LAKELAND COMMUNITY COLLEGE,LAKELAND COMMUNITY COLLEGE,"7700 Clocktower Drive, Kirtland, OH 44094",41.6381948,-81.3626198
680700,680705,PA,COMMUNITY COLLEGE OF BEAVER COUNTY,COMMUNITY COLLEGE OF BEAVER COUNTY - PARKWAY WEST,"7101 Steubenville Pike, Oakdale, PA 15071",40.4426509,-80.1771314
680700,680701,PA,COMMUNITY COLLEGE OF BEAVER COUNTY,COMMUNITY COLLEGE OF BEAVER COUNTY- AVIATION SCIENCES CENTER,"125 Cessna Drive, Beaver Falls, PA 15010",40.7773921,-80.392047
